targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
International Space Station (spa,2025-10-01 00:23:50.818,69.18236464262009,5495388.107446161,-3988779.921426284,-286367.39599050436,2589.361765821241,3987.848592477166,-6007.783510340149,0.022670499622166173,6796444.80581727,6.375506485767586
International Space Station (spa,2025-10-01 00:24:50.818,69.18236464262009,5638060.0063382825,-3740567.07931564,-645901.3009155412,2164.567864046409,4282.760322323356,-5972.114647341731,0.022671748457647006,6796819.197275704,6.09224016942088
International Space Station (spa,2025-10-01 00:25:50.818,69.18236464262009,5754940.270914771,-3475242.7938179523,-1002472.2920787928,1729.9716045648636,4558.014539646221,-5909.059556153382,0.022672938407301904,6797175.935207644,5.788367005446438
International Space Station (spa,2025-10-01 00:26:50.818,69.18236464262009,5845500.731314197,-3194024.7206024337,-1354445.7006668,1287.5782776772578,4812.3539159571965,-5818.9227572827285,0.02267406589622536,6797513.947883377,5.469249983199945
International Space Station (spa,2025-10-01 00:27:50.818,69.18236464262009,5909334.597075725,-2898203.009689673,-1700208.9228071156,839.4268950430583,5044.620162012658,-5702.134862691255,0.022675128410057227,6797832.481516687,5.140113264000792
International Space Station (spa,2025-10-01 00:28:50.818,69.18236464262009,5946158.180652834,-2589134.2014967594,-2038178.9126610279,387.5801946107356,5253.759312573709,-5559.250065927515,0.022676124457282655,6798131.088962683,4.805949809189832
International Space Station (spa,2025-10-01 00:29:50.818,69.18236464262009,5955812.019746519,-2268234.8240654333,-2366809.5055261035,-65.88539252213076,5438.826403108605,-5390.942989198458,0.02267705351370761,6798409.61307194,4.471435236744377
International Space Station (spa,2025-10-01 00:30:50.818,69.18236464262009,5938261.398311676,-1936974.728545315,-2684598.53345245,-518.8897426617906,5598.989519540365,-5198.004923619964,0.022677915950532014,6798668.165127399,4.140849439456343
International Space Station (spa,2025-10-01 00:31:50.818,69.18236464262009,5893596.270228347,-1596870.2008909604,-2990094.6982022687,-969.3589403094621,5733.533210094402,-4981.339504171465,0.022678712947732053,6798907.098877019,3.8180073432844925
International Space Station (spa,2025-10-01 00:32:50.818,69.18236464262009,5822030.593523262,-1249476.8881488251,-3281904.168990823,-1415.2350166860099,5841.861256046986,-4741.957865034294,0.022679446394716002,6799126.980751149,3.506200006005378
International Space Station (spa,2025-10-01 00:33:50.818,69.18236464262009,5723901.086610868,-896382.5776777181,-3558696.875269626,-1854.4854691576727,5923.498805485838,-4480.973323933593,0.022680118780433682,6799328.556918177,3.2081470572400232
International Space Station (spa,2025-10-01 00:34:50.818,69.18236464262009,5599665.421243393,-539199.8671977593,-3819212.4677760047,-2285.112511184233,5978.093880860324,-4199.595645789585,0.022680733075294116,6799512.717884325,2.9259612649082567
International Space Station (spa,2025-10-01 00:35:50.818,69.18236464262009,5449899.86967531,-179558.76273983138,-4062265.9241038063,-2705.1620094047366,6005.418276940824,-3899.1249364217047,0.022681292607374014,6799680.461381884,2.661125784357119
International Space Station (spa,2025-10-01 00:36:50.818,69.18236464262009,5275296.425935182,180900.75957374845,-4286752.778074067,-3112.732071748275,6005.36787067748,-3580.945216292223,0.02268180093548322,6799832.854315215,2.41448440885724
International Space Station (spa,2025-10-01 00:37:50.818,69.18236464262009,5076659.423046323,540536.1933885046,-4491653.955134257,-3505.9812577488256,5977.962368242947,-3246.517722419622,0.022682261721687833,6799970.994544107,2.186244898233612
International Space Station (spa,2025-10-01 00:38:50.818,69.18236464262009,4854901.669554733,897709.9106818467,-4676040.198826598,-3883.136389293118,5923.344517198038,-2897.373983773256,0.022682678605878675,6800095.973280379,1.9759952204591795
International Space Station (spa,2025-10-01 00:39:50.818,69.18236464262009,4611040.129828691,1250796.5078158497,-4839076.075987168,-4242.499946600007,5841.778813216723,-2535.10871184814,0.022683055084912564,6800208.838855338,1.7827323033220122
International Space Station (spa,2025-10-01 00:40:50.818,69.18236464262009,4346191.173325038,1598190.0596390122,-4980023.550724929,-4582.45704010279,5733.649731175547,-2161.3725439088753,0.02268339439874788,6800310.562584061,1.6049026638917059
International Space Station (spa,2025-10-01 00:41:50.818,69.18236464262009,4061565.4184202477,1938311.253964364,-5098245.119352134,-4901.481953897969,5599.459509724749,-1777.8646718000198,0.022683699425845312,6800402.007407357,1.440454066791735
International Space Station (spa,2025-10-01 00:42:50.818,69.18236464262009,3758462.1965367706,2269614.380451166,-5193206.500278239,-5198.144260395654,5439.825516825947,-1386.325384471032,0.0226839725899151,6800483.899935275,1.2868971614633908
International Space Station (spa,2025-10-01 00:43:50.818,69.18236464262009,3438263.662222288,2590594.14949605,-5264478.874433467,-5471.114508659255,5255.477221313711,-988.5285476845393,0.022684215779862512,6800556.806447369,1.141375867501368
International Space Station (spa,2025-10-01 00:44:50.818,69.18236464262009,3102428.5746304556,2899792.3181555048,-5311740.673066838,-5719.169490608884,5047.252792492225,-586.2740399841167,0.022684430284523896,6800621.113327061,1.0007451189531378
International Space Station (spa,2025-10-01 00:45:50.818,69.18236464262009,2752485.775577202,3195804.1013425104,-5334778.91078829,-5941.197089786143,4816.095346314644,-181.38016009435756,0.022684616743495454,6800677.01232046,0.8616544452941947
International Space Station (spa,2025-10-01 00:46:50.818,69.18236464262009,2390027.38907418,3477284.3475485602,-5333490.062531385,-6136.2007167912625,4563.048853023881,224.32398231389126,0.022684775115044874,6800724.490916536,0.7206357616104575
International Space Station (spa,2025-10-01 00:47:50.818,69.18236464262009,2016701.7670469366,3742953.4591224794,-5307880.483746375,-6303.303333899882,4289.253717487733,629.0060829784545,0.02268490466176622,6800763.328046554,0.5741936645154235
International Space Station (spa,2025-10-01 00:48:50.818,69.18236464262009,1634206.2058358188,3991603.0377345243,-5258066.373645091,-6441.75106891461,3995.942040018182,1030.8382585511072,0.022685003954297626,6800793.095198606,0.41889648509721145
International Space Station (spa,2025-10-01 00:49:50.818,69.18236464262009,1244279.458233125,4222101.235987775,-5184273.281771416,-6550.916415119173,3684.4325625244596,1428.0046537426563,0.02268507089307308,6800813.162938634,0.25146633628754866
International Space Station (spa,2025-10-01 00:50:50.818,69.18236464262009,848694.0660148684,4433397.796423773,-5086835.158613402,-6630.301010607033,3356.1253024129087,1818.7090322232625,0.02268510274773481,6800822.712725972,0.06886640978961152
International Space Station (spa,2025-10-01 00:51:50.818,69.18236464262009,449248.5385858067,4624528.75918092,-4966192.95149991,-6679.537986322115,3012.4958751584772,2201.1823417980145,0.022685096213491393,6800820.753809078,-0.13161617326684513
International Space Station (spa,2025-10-01 00:52:50.818,69.18236464262009,47759.403934791146,4794620.819699449,-4822892.747615926,-6698.39386830265,2655.0895056304494,2573.6902421958725,0.02268504748338077,6800806.1448894385,-0.35229357441294823
International Space Station (spa,2025-10-01 00:53:50.818,69.18236464262009,-353946.8407048663,4942895.317762137,-4657583.4668112835,-6686.770015904319,2285.514728709783,2934.540580429436,0.022684952335086984,6800777.620148571,-0.5950080204938798
International Space Station (spa,2025-10-01 00:54:50.818,69.18236464262009,-754041.8500639782,5068671.8393121455,-4471014.107852987,-6644.703574623655,1905.4367809074233,3282.090795017958,0.022684806230675987,6800733.819148073,-0.8610715291096227
International Space Station (spa,2025-10-01 00:55:50.818,69.18236464262009,-1150703.5940399913,5171371.412611003,-4264030.553048751,-6572.367919614662,1516.5706870842273,3614.755225973277,0.022684604427357917,6800673.320035312,-1.1512157883981688
International Space Station (spa,2025-10-01 00:56:50.818,69.18236464262009,-1542124.531554397,5250519.280650512,-4037571.937694768,-6470.07256436694,1120.6740496446712,3931.01230288339,0.02268434209716188,6800594.675421035,-1.4655532198575318
International Space Station (spa,2025-10-01 00:57:50.818,69.18236464262009,-1926519.7621698894,5305747.232291948,-3792666.592611752,-6338.262508417489,719.5395517482499,4229.41157877385,0.022684014453223347,6800496.450239352,-1.8035500512344989
International Space Station (spa,2025-10-01 00:58:50.818,69.18236464262009,-2302135.121020172,5336795.475441272,-3530427.57011975,-6177.516998524287,314.98719099838434,4508.580572936755,0.02268361688023992,6800377.26085742,-2.164012008997279
