targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:07:50.818,69.18236464262009,-15602586.136652831,10407842.50699238,-19299307.131108865,-494.16388865243295,-3494.8080333024964,-1468.7664779827348,0.08976699632701078,26911468.47615154,-11.779424161721524
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:08:50.818,69.18236464262009,-15631661.655969745,10197773.41543992,-19386721.470843617,-475.0022550443501,-3507.4492297051474,-1445.0287489625712,0.08976459557042106,26910748.74743244,-12.215494396039764
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:09:50.818,69.18236464262009,-15659586.379836751,9986953.560347905,-19472708.284917593,-455.8041260631444,-3519.833202323467,-1421.182725939061,0.08976210762149395,26910002.879108205,-12.650686332415779
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:10:50.818,69.18236464262009,-15686358.158995429,9775398.402772056,-19557261.12565804,-436.5708530237161,-3531.959033995794,-1397.230077535922,0.08975953265897658,26909230.924765877,-13.084969216014747
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:11:50.818,69.18236464262009,-15711974.925348528,9563123.458307248,-19640373.645735428,-417.3037899681201,-3543.8258240001496,-1373.1724798468856,0.08975687086776886,26908432.93983702,-13.518312344617215
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:12:50.818,69.18236464262009,-15736434.692121487,9350144.296099255,-19722039.598609157,-398.00429359578965,-3555.432688113741,-1349.0116163522166,0.08975412243891265,26907608.981594596,-13.950685070235952
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:13:50.818,69.18236464262009,-15759735.554019736,9136476.537853312,-19802252.838968307,-378.67372319358986,-3566.7787586721033,-1324.7491778349313,0.08975128756958133,26906759.109149627,-14.382056800734793
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:14:50.818,69.18236464262009,-15781875.687382031,8922135.856838234,-19881007.32316745,-359.313440565576,-3577.8631846279322,-1300.3868622965354,0.08974836646306789,26905883.38344787,-14.812397001462102
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:15:50.818,69.18236464262009,-15802853.35032927,8707137.97688828,-19958297.109657045,-339.92480996266414,-3588.685131609489,-1275.9263748725693,0.08974535932877366,26904981.867266294,-15.241675196863241
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:16:50.818,69.18236464262009,-15822666.882909253,8491498.671400247,-20034116.359409254,-320.5091980119976,-3599.243781978729,-1251.3694277475884,0.08974226638219651,26904054.625209466,-15.669860972113979
